Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   420 |     3690
  query    |   450 |     2057
  gallery  |   934 |    42929
  camstyle  |     0 |        0
Epoch: [1][18/28]	Time 0.762 (0.886)	Data 0.251 (0.372)	Loss 4.489 (4.850)	Prec 43.75% (33.64%)	
Epoch: [1][19/28]	Time 0.761 (0.879)	Data 0.251 (0.366)	Loss 4.831 (4.849)	Prec 36.72% (33.80%)	
Epoch: [1][20/28]	Time 0.759 (0.873)	Data 0.250 (0.360)	Loss 5.179 (4.866)	Prec 35.94% (33.91%)	
Epoch: [1][21/28]	Time 0.757 (0.868)	Data 0.250 (0.355)	Loss 4.546 (4.851)	Prec 40.62% (34.23%)	
Epoch: [1][22/28]	Time 0.768 (0.863)	Data 0.254 (0.350)	Loss 4.090 (4.816)	Prec 43.75% (34.66%)	
Epoch: [1][23/28]	Time 0.765 (0.859)	Data 0.255 (0.346)	Loss 4.687 (4.810)	Prec 40.62% (34.92%)	
Epoch: [1][24/28]	Time 0.763 (0.855)	Data 0.250 (0.342)	Loss 4.656 (4.804)	Prec 39.84% (35.12%)	
Epoch: [1][25/28]	Time 0.765 (0.851)	Data 0.253 (0.339)	Loss 5.015 (4.812)	Prec 35.94% (35.16%)	
Epoch: [1][26/28]	Time 0.769 (0.848)	Data 0.255 (0.335)	Loss 4.793 (4.812)	Prec 38.28% (35.28%)	
Epoch: [1][27/28]	Time 0.763 (0.845)	Data 0.251 (0.332)	Loss 4.058 (4.784)	Prec 35.94% (35.30%)	
Epoch: [1][28/28]	Time 0.768 (0.842)	Data 0.253 (0.330)	Loss 4.588 (4.777)	Prec 35.16% (35.30%)	

 * Finished epoch   1 

Epoch: [2][1/28]	Time 3.309 (3.309)	Data 2.748 (2.748)	Loss 4.060 (4.060)	Prec 45.31% (45.31%)	
Epoch: [2][2/28]	Time 0.783 (2.046)	Data 0.262 (1.505)	Loss 4.263 (4.162)	Prec 42.97% (44.14%)	
Epoch: [2][3/28]	Time 0.770 (1.621)	Data 0.252 (1.087)	Loss 5.205 (4.509)	Prec 39.06% (42.45%)	
Epoch: [2][4/28]	Time 0.774 (1.409)	Data 0.258 (0.880)	Loss 4.838 (4.592)	Prec 42.19% (42.38%)	
Epoch: [2][5/28]	Time 0.777 (1.283)	Data 0.261 (0.756)	Loss 4.992 (4.672)	Prec 28.91% (39.69%)	
Epoch: [2][6/28]	Time 0.771 (1.197)	Data 0.251 (0.672)	Loss 5.019 (4.730)	Prec 36.72% (39.19%)	
Epoch: [2][7/28]	Time 0.769 (1.136)	Data 0.251 (0.612)	Loss 4.761 (4.734)	Prec 33.59% (38.39%)	
Epoch: [2][8/28]	Time 0.770 (1.090)	Data 0.254 (0.567)	Loss 4.481 (4.702)	Prec 42.97% (38.96%)	
Epoch: [2][9/28]	Time 0.775 (1.055)	Data 0.254 (0.532)	Loss 4.768 (4.710)	Prec 37.50% (38.80%)	
Epoch: [2][10/28]	Time 0.777 (1.027)	Data 0.252 (0.504)	Loss 4.061 (4.645)	Prec 41.41% (39.06%)	
Epoch: [2][11/28]	Time 0.775 (1.005)	Data 0.256 (0.482)	Loss 4.559 (4.637)	Prec 35.94% (38.78%)	
Epoch: [2][12/28]	Time 0.774 (0.985)	Data 0.255 (0.463)	Loss 5.434 (4.703)	Prec 36.72% (38.61%)	
Epoch: [2][13/28]	Time 0.772 (0.969)	Data 0.256 (0.447)	Loss 4.191 (4.664)	Prec 42.19% (38.88%)	
Epoch: [2][14/28]	Time 0.776 (0.955)	Data 0.253 (0.433)	Loss 5.251 (4.706)	Prec 37.50% (38.78%)	
Epoch: [2][15/28]	Time 0.773 (0.943)	Data 0.254 (0.421)	Loss 5.200 (4.739)	Prec 41.41% (38.96%)	
Epoch: [2][16/28]	Time 0.772 (0.932)	Data 0.255 (0.411)	Loss 4.547 (4.727)	Prec 41.41% (39.11%)	
Epoch: [2][17/28]	Time 0.779 (0.923)	Data 0.256 (0.402)	Loss 4.464 (4.711)	Prec 36.72% (38.97%)	
Epoch: [2][18/28]	Time 0.779 (0.915)	Data 0.255 (0.394)	Loss 5.718 (4.767)	Prec 23.44% (38.11%)	
Epoch: [2][19/28]	Time 0.777 (0.908)	Data 0.255 (0.386)	Loss 5.118 (4.786)	Prec 32.03% (37.79%)	
Epoch: [2][20/28]	Time 0.779 (0.902)	Data 0.258 (0.380)	Loss 5.424 (4.818)	Prec 25.78% (37.19%)	
Epoch: [2][21/28]	Time 0.780 (0.896)	Data 0.256 (0.374)	Loss 3.849 (4.772)	Prec 39.84% (37.31%)	
Epoch: [2][22/28]	Time 0.781 (0.891)	Data 0.256 (0.369)	Loss 4.604 (4.764)	Prec 39.06% (37.39%)	
Epoch: [2][23/28]	Time 0.785 (0.886)	Data 0.258 (0.364)	Loss 4.812 (4.766)	Prec 36.72% (37.36%)	
Epoch: [2][24/28]	Time 0.785 (0.882)	Data 0.262 (0.360)	Loss 4.575 (4.758)	Prec 39.84% (37.47%)	
Epoch: [2][25/28]	Time 0.781 (0.878)	Data 0.255 (0.355)	Loss 4.626 (4.753)	Prec 35.94% (37.41%)	
Epoch: [2][26/28]	Time 0.783 (0.874)	Data 0.260 (0.352)	Loss 4.422 (4.740)	Prec 41.41% (37.56%)	
Epoch: [2][27/28]	Time 0.781 (0.871)	Data 0.255 (0.348)	Loss 4.939 (4.747)	Prec 39.06% (37.62%)	
Epoch: [2][28/28]	Time 0.787 (0.868)	Data 0.261 (0.345)	Loss 4.857 (4.751)	Prec 32.81% (37.44%)	

 * Finished epoch   2 

Epoch: [3][1/28]	Time 3.492 (3.492)	Data 2.948 (2.948)	Loss 4.641 (4.641)	Prec 33.59% (33.59%)	
Epoch: [3][2/28]	Time 0.790 (2.141)	Data 0.255 (1.601)	Loss 5.318 (4.979)	Prec 39.84% (36.72%)	
Epoch: [3][3/28]	Time 0.783 (1.688)	Data 0.252 (1.152)	Loss 4.701 (4.887)	Prec 38.28% (37.24%)	
Epoch: [3][4/28]	Time 0.791 (1.464)	Data 0.268 (0.931)	Loss 4.488 (4.787)	Prec 36.72% (37.11%)	
Epoch: [3][5/28]	Time 0.787 (1.328)	Data 0.255 (0.796)	Loss 4.973 (4.824)	Prec 38.28% (37.34%)	
Epoch: [3][6/28]	Time 0.779 (1.237)	Data 0.255 (0.706)	Loss 4.555 (4.779)	Prec 33.59% (36.72%)	
Epoch: [3][7/28]	Time 0.786 (1.173)	Data 0.261 (0.642)	Loss 4.465 (4.734)	Prec 35.94% (36.61%)	
Epoch: [3][8/28]	Time 0.786 (1.124)	Data 0.256 (0.594)	Loss 4.800 (4.742)	Prec 39.06% (36.91%)	
Epoch: [3][9/28]	Time 0.782 (1.086)	Data 0.256 (0.556)	Loss 4.574 (4.724)	Prec 39.84% (37.24%)	
Epoch: [3][10/28]	Time 0.784 (1.056)	Data 0.259 (0.527)	Loss 5.077 (4.759)	Prec 37.50% (37.27%)	
Epoch: [3][11/28]	Time 0.786 (1.031)	Data 0.257 (0.502)	Loss 3.730 (4.666)	Prec 46.88% (38.14%)	
Epoch: [3][12/28]	Time 0.783 (1.011)	Data 0.261 (0.482)	Loss 4.465 (4.649)	Prec 38.28% (38.15%)	
Epoch: [3][13/28]	Time 0.789 (0.994)	Data 0.262 (0.465)	Loss 5.785 (4.736)	Prec 32.81% (37.74%)	
Epoch: [3][14/28]	Time 0.782 (0.979)	Data 0.256 (0.450)	Loss 4.588 (4.726)	Prec 33.59% (37.44%)	
Epoch: [3][15/28]	Time 0.780 (0.965)	Data 0.257 (0.437)	Loss 4.235 (4.693)	Prec 44.53% (37.92%)	
Epoch: [3][16/28]	Time 0.786 (0.954)	Data 0.259 (0.426)	Loss 4.721 (4.695)	Prec 42.19% (38.18%)	
Epoch: [3][17/28]	Time 0.782 (0.944)	Data 0.257 (0.416)	Loss 5.341 (4.733)	Prec 35.94% (38.05%)	
Epoch: [3][18/28]	Time 0.789 (0.935)	Data 0.260 (0.407)	Loss 5.636 (4.783)	Prec 31.25% (37.67%)	
Epoch: [3][19/28]	Time 0.787 (0.928)	Data 0.260 (0.400)	Loss 5.195 (4.805)	Prec 42.19% (37.91%)	
Epoch: [3][20/28]	Time 0.784 (0.920)	Data 0.258 (0.393)	Loss 4.510 (4.790)	Prec 42.19% (38.12%)	
Epoch: [3][21/28]	Time 0.780 (0.914)	Data 0.257 (0.386)	Loss 5.037 (4.802)	Prec 33.59% (37.91%)	
Epoch: [3][22/28]	Time 0.782 (0.908)	Data 0.261 (0.380)	Loss 4.662 (4.795)	Prec 34.38% (37.75%)	
Epoch: [3][23/28]	Time 0.780 (0.902)	Data 0.256 (0.375)	Loss 4.469 (4.781)	Prec 37.50% (37.74%)	
Epoch: [3][24/28]	Time 0.781 (0.897)	Data 0.260 (0.370)	Loss 5.362 (4.805)	Prec 38.28% (37.76%)	
Epoch: [3][25/28]	Time 0.780 (0.892)	Data 0.257 (0.366)	Loss 4.709 (4.801)	Prec 42.19% (37.94%)	
Epoch: [3][26/28]	Time 0.789 (0.888)	Data 0.262 (0.362)	Loss 4.675 (4.797)	Prec 32.81% (37.74%)	
Epoch: [3][27/28]	Time 0.782 (0.884)	Data 0.256 (0.358)	Loss 4.873 (4.799)	Prec 38.28% (37.76%)	
Epoch: [3][28/28]	Time 0.781 (0.881)	Data 0.256 (0.354)	Loss 4.687 (4.795)	Prec 39.84% (37.83%)	

 * Finished epoch   3 

Epoch: [4][1/28]	Time 3.044 (3.044)	Data 2.503 (2.503)	Loss 4.029 (4.029)	Prec 45.31% (45.31%)	
Epoch: [4][2/28]	Time 0.792 (1.918)	Data 0.257 (1.380)	Loss 4.494 (4.262)	Prec 44.53% (44.92%)	
Epoch: [4][3/28]	Time 0.779 (1.538)	Data 0.257 (1.006)	Loss 4.356 (4.293)	Prec 43.75% (44.53%)	
Epoch: [4][4/28]	Time 0.768 (1.346)	Data 0.252 (0.817)	Loss 4.391 (4.318)	Prec 34.38% (41.99%)	
Epoch: [4][5/28]	Time 0.792 (1.235)	Data 0.283 (0.710)	Loss 5.530 (4.560)	Prec 34.38% (40.47%)	
Epoch: [4][6/28]	Time 0.785 (1.160)	Data 0.255 (0.634)	Loss 4.512 (4.552)	Prec 39.06% (40.23%)	
Epoch: [4][7/28]	Time 0.773 (1.105)	Data 0.255 (0.580)	Loss 4.696 (4.573)	Prec 42.19% (40.51%)	
Epoch: [4][8/28]	Time 0.768 (1.063)	Data 0.255 (0.539)	Loss 5.100 (4.639)	Prec 26.56% (38.77%)	
Epoch: [4][9/28]	Time 0.776 (1.031)	Data 0.261 (0.509)	Loss 4.626 (4.637)	Prec 37.50% (38.63%)	
Epoch: [4][10/28]	Time 0.775 (1.005)	Data 0.255 (0.483)	Loss 4.512 (4.625)	Prec 36.72% (38.44%)	
Epoch: [4][11/28]	Time 0.779 (0.985)	Data 0.254 (0.462)	Loss 4.430 (4.607)	Prec 39.06% (38.49%)	
Epoch: [4][12/28]	Time 0.777 (0.967)	Data 0.258 (0.445)	Loss 4.811 (4.624)	Prec 38.28% (38.48%)	
Epoch: [4][13/28]	Time 0.774 (0.953)	Data 0.257 (0.431)	Loss 4.150 (4.587)	Prec 38.28% (38.46%)	
Epoch: [4][14/28]	Time 0.774 (0.940)	Data 0.255 (0.418)	Loss 4.496 (4.581)	Prec 40.62% (38.62%)	
Epoch: [4][15/28]	Time 0.774 (0.929)	Data 0.252 (0.407)	Loss 4.357 (4.566)	Prec 45.31% (39.06%)	
Epoch: [4][16/28]	Time 0.776 (0.919)	Data 0.257 (0.398)	Loss 4.820 (4.582)	Prec 38.28% (39.01%)	
Epoch: [4][17/28]	Time 0.776 (0.911)	Data 0.257 (0.389)	Loss 4.866 (4.599)	Prec 38.28% (38.97%)	
Epoch: [4][18/28]	Time 0.778 (0.903)	Data 0.257 (0.382)	Loss 4.547 (4.596)	Prec 40.62% (39.06%)	
Epoch: [4][19/28]	Time 0.774 (0.897)	Data 0.254 (0.375)	Loss 5.148 (4.625)	Prec 31.25% (38.65%)	
Epoch: [4][20/28]	Time 0.774 (0.890)	Data 0.254 (0.369)	Loss 4.583 (4.623)	Prec 36.72% (38.55%)	
Epoch: [4][21/28]	Time 0.780 (0.885)	Data 0.257 (0.364)	Loss 4.748 (4.629)	Prec 34.38% (38.36%)	
Epoch: [4][22/28]	Time 0.779 (0.880)	Data 0.256 (0.359)	Loss 5.371 (4.662)	Prec 34.38% (38.17%)	
Epoch: [4][23/28]	Time 0.772 (0.876)	Data 0.255 (0.354)	Loss 5.134 (4.683)	Prec 27.34% (37.70%)	
Epoch: [4][24/28]	Time 0.776 (0.872)	Data 0.255 (0.350)	Loss 4.137 (4.660)	Prec 40.62% (37.83%)	
Epoch: [4][25/28]	Time 0.779 (0.868)	Data 0.254 (0.346)	Loss 4.692 (4.661)	Prec 37.50% (37.81%)	
Epoch: [4][26/28]	Time 0.776 (0.864)	Data 0.255 (0.343)	Loss 4.394 (4.651)	Prec 39.84% (37.89%)	
Epoch: [4][27/28]	Time 0.769 (0.861)	Data 0.255 (0.340)	Loss 4.033 (4.628)	Prec 45.31% (38.17%)	
Epoch: [4][28/28]	Time 0.778 (0.858)	Data 0.255 (0.337)	Loss 4.423 (4.621)	Prec 35.16% (38.06%)	

 * Finished epoch   4 

Epoch: [5][1/28]	Time 2.951 (2.951)	Data 2.372 (2.372)	Loss 4.050 (4.050)	Prec 39.84% (39.84%)	
Epoch: [5][2/28]	Time 0.766 (1.859)	Data 0.244 (1.308)	Loss 5.656 (4.853)	Prec 32.81% (36.33%)	
